0;Miss;Red;;10;8
1;Roar of Time;White;Return the battle opponent to their start-of-the-duel state (excluding evolution);344;40
2;Miss;Red;;10;4
3;Dragon Claw;White;;454;44
4;Corkscrew Crash;White Z-Move;If the battle opponent is knocked out, then after the battle, this Pokémon moves to a point 2 steps away;393;96
5;Devastating Drake;Purple Z-Move;A Pokémon on the field spins. If it spins a Miss or a White Attack of 120 damage or more, it is knocked out;419;96
6;Tackle;White;;554;8
7;Miss;Red;;10;16
8;Take Down;White;;453;24
9;Miss;Red;;10;12
10;Tackle;White;;313;8
11;Kick Away;Purple;The battle opponent is knocked 2 steps back (the opponent chooses the point) and gains Wait;265;28
12;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;567;96
13;Miss;Red;;10;4
14;Aqua Jet;Gold;;369;20
15;Protect;Blue;This Pokémon gains Wait.;10;12
16;Pierce Through;White;;438;20
17;Iron Tail;White;;321;40
18;Continental Crush;Purple Z-Move;The battle opponent and opposing Pokémon adjacent to the battle opponent gain Wait 9;420;96
19;Savage Spin-Out;White Z-Move;Attaches a MP-2 marker to opposing Pokémon within 2 steps.;343;96
20;Flame Tail;White;;505;24
21;Smokescreen;Purple;The battle opponent now has Wait.;299;28
22;Scratch;White;;302;32
23;Miss;Red;;10;12
24;Inferno Overdrive;White Z-Move;The battle opponent and the Pokémon in a straight line directly behind it become burned.;321;96
25;Taunt;Purple;If this Pokémon or the opponent Pokémon spins purple, they must respin for that turn.;322;24
26;Crunch;White;;383;28
27;Ice Fang;White;If this Pokémon is knocked out, the battle opponent becomes frozen;403;32
28;Miss;Red;;10;12
29;Black Hole Eclipse;White Z-Move;Reduces the opponetn's Z-Move gauge by two thirds of its max value;376;96
30;Wrap;White;;442;24
31;Spit Poison;Purple;The battle opponent becomes poisoned.;328;28
32;Wrap;White;;539;24
33;Miss;Red;;10;20
34;Acid Downpour;White Z-Move;All opposing Pokémon on the field spin. Those that spin White Attacks become Poisoned.;408;96
35;Miss;Red;;10;12
36;Poison Powder;Purple;The battle opponent becomes poisoned.;294;28
37;Body Slam;White;;317;56
38;Bloom Doom;White Z-Move;Removes all special conditions from your Pokémon;553;96
39;Bite;White;;452;32
40;Roar;Purple;The battle opponent is knocked 1 step back (the opponent chooses the point) and gains Wait.;303;28
41;Paw;White;;563;32
42;Miss;Red;;10;4
43;Twinkle Tackle;Purple Z-Move;Moves the battle opponent to the bench;406;96
44;Nuzzle;White;If this Pokémon is knocked out, the battle opponent becomes paralyzed.;537;48
45;Spark;White;;488;32
46;Miss;Red;;10;16
47;Gigavolt Havoc;White Z-Move;The battle opponent and a succession of Pokémon adjacent to the battle opponent (other than this Pokémon) become paralyzed;577;96
48;Tackle;White;;353;24
49;Explosion;Purple;This Pokémon and all neighbour Pokémon faint;325;28
50;Bullet Seed;White;Spin again until Bullet Seed does not land - damage is multiplied by the number of Bullet Seed spins;377;40
51;Miss;Red;;10;4
52;Bloom Doom;White Z-Move;Removes all special conditions from your Pokémon;503;96
53;Miss;Red;;10;4
54;Dodge;Blue;;10;4
55;Metal Claw;White;;413;16
56;Dodge;Blue;;10;4
57;Hyper Beam;White;If the battle opponent is knocked out, the next turn will always be the other player's;355;24
58;Dodge;Blue;;10;4
59;Metal Claw;White;;414;16
60;Dodge;Blue;;10;4
61;Bullet Punch;Gold;;574;20
62;Corkscrew Crash;White Z-Move;If the battle opponent is knocked out, then after the battle, this Pokémon moves to a point 2 steps away;454;96
63;Shattered Psyche;White Z-Move;If this Pokémon is on the field, this Pokémon moves to a point 3 steps away after battle;528;96
64;Miss;Red;;10;8
65;Scratch;White;;317;12
66;Step Away;Blue;This Pokémon moves 1-3 steps back.;10;28
67;Scratch;White;;431;12
68;Miss;Red;;10;12
69;Tail Smack;White;;369;24
70;Breakneck Blitz;White Z-Move;Pokémon knocked out by this Attack's damage are temporarily excluded from the duel, returning to the bench 7 turns later.;537;96
71;Rock Throw;White;;500;24
72;Rock Blast;White;Spin again until Rock Blast does not land - damage is multiplied by the number of Rock Blast spins;594;40
73;Rockwall;White;If the battle opponent's Attack is below 120 damage, this Pokémon cannot be Knocked out.;355;24
74;Miss;Red;;10;8
75;Tectonic Rage;Purple Z-Move;Knocks out the battle opponent;426;96
76;Continental Crush;Purple Z-Move;The battle opponent and opposing Pokémon adjacent to the battle opponent gain Wait 9;402;96
77;Scratch;White;;473;20
78;Poison Sting;Purple;The battle opponent becomes poisoned.;269;16
79;Scratch;White;;302;20
80;Constrict;Purple;The battle opponent now has Wait.;326;36
81;Miss;Red;;10;4
82;Acid Downpour;White Z-Move;All opposing Pokémon on the field spin. Those that spin White Attacks become Poisoned.;318;96
